Date,Day,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
2020-01-30,0,1,0,0,0,1
2020-01-31,1,1,0,0,0,1
2020-02-01,2,2,0,0,0,2
2020-02-02,3,3,0,0,0,3
2020-02-03,4,3,0,0,0,3
2020-02-04,5,3,0,0,0,3
2020-02-05,6,3,0,0,0,3
2020-02-06,7,3,0,0,0,3
2020-02-07,8,3,0,0,0,3
2020-02-08,9,3,0,0,0,3
2020-02-09,10,3,0,0,0,3
2020-02-10,11,3,0,0,0,3
2020-02-11,12,3,0,0,0,3
2020-02-12,13,3,0,0,0,3
2020-02-13,14,3,0,0,0,3
2020-02-14,15,3,0,0,0,3
2020-02-15,16,3,0,0,0,3
2020-02-16,17,3,0,0,0,3
2020-02-17,18,3,0,0,0,3
2020-02-18,19,3,0,0,0,3
2020-02-19,20,3,0,0,0,3
2020-02-20,21,3,0,0,0,3
2020-02-21,22,3,0,0,0,3
2020-02-22,23,3,0,0,0,3
2020-02-23,24,3,0,0,0,3
2020-02-24,25,3,0,0,0,3
2020-02-25,26,3,0,0,0,3
2020-02-26,27,3,0,0,0,3
2020-02-27,28,3,0,0,0,3
2020-02-28,29,3,0,0,0,3
2020-02-29,30,3,0,0,0,3
2020-03-01,31,3,0,0,0,3
2020-03-02,32,131,000,0,0,5
2020-03-03,33,1031,0100,3,0,6
2020-03-04,34,630111,0020014,3,0,28
2020-03-05,35,203117,0201400,3,0,30
2020-03-06,36,303171,0201400,3,0,31
2020-03-07,37,37211301,000000214,3,0,34
2020-03-08,38,21118037,000140200,3,0,39
2020-03-09,39,219211111704,0000014000020,3,0,46
2020-03-10,40,7240415511111,0002000014000,3,0,58
2020-03-11,41,2501711921114,0014020000000,3,0,60
2020-03-12,42,6017111031114111,01402010000000,3,0,74
2020-03-13,43,6019111031116141,01402010000000,3,1,81
2020-03-14,44,7019111131216141,01402010000000,10,2,84
2020-03-15,45,17062232121323121,001400002000010,13,2,110
2020-03-16,46,170623321121334121,0014000002000010,13,2,114
2020-03-17,47,1811124361121336141,0014023002020010,14,3,137
2020-03-18,48,193112539111214381511,011402300020200100,14,3,151
2020-03-19,49,211131425441125241481811,00114023000202000100,20,4,173
2020-03-20,50,311653152649212153814102232,001014023000209000100,23,4,223
2020-03-21,51,3125732153346021131531014132333,001014007030002011000100,23,4,283
2020-03-22,52,521281872264546421212251154132634,0001014007030002211000100,24,7,360
2020-03-23,53,7212829122336067121212672264133037,0001014007030002210000100,24,7,433
2020-03-24,54,831293214337877861212930132574133239,00011140080300002210000110,40,9,519
2020-03-25,55,9413037143411011412511212934162577133639,000111400803000002210000110,43,10,606
2020-03-26,56,111676353421631355110132012111213339203444010,00000101140008003000002610110,45,15,694
2020-03-27,57,112676353421631355129132012711213339233544010,00000101140008003000002610110,67,17,724
2020-03-28,58,146986383441932055168133017711313852344645415,00000101140008003000002610110,80,19,909
2020-03-29,59,---------------------------,---------------------------,96,27,1024
2020-03-30,60,----------------------------,----------------------------,102,31,1251
2020-03-31,61,----------------------------,----------------------------,124,35,1397
2020-04-01,62,-----------------------------,-----------------------------,144,41,1834
2020-04-02,63,-----------------------------,-----------------------------,156,53,2069
2020-04-03,64,-------------------------------,-------------------------------,163,62,2547
2020-04-04,65,------------------------------,------------------------------,213,75,3072
2020-04-05,66,------------------------------,------------------------------,275,83,3577
2020-04-06,67,------------------------------,------------------------------,319,111,4281
2020-04-07,68,-------------------------------,-------------------------------,353,124,4789
2020-04-08,69,-------------------------------,-------------------------------,411,149,5274
2020-04-09,70,-------------------------------,-------------------------------,478,169,5865
2020-04-10,71,-------------------------------,-------------------------------,516,206,6761
2020-04-11,72,-------------------------------,-------------------------------,653,242,7529
2020-04-12,73,-------------------------------,-------------------------------,765,273,8447
2020-04-13,74,--------------------------------,--------------------------------,980,324,9352
2020-04-14,75,---------------------------------,---------------------------------,1190,353,10815
2020-04-15,76,---------------------------------,---------------------------------,1344,392,11933
2020-04-16,77,---------------------------------,---------------------------------,1515,420,12759
2020-04-17,78,---------------------------------,---------------------------------,1767,452,13835
2020-04-18,79,---------------------------------,---------------------------------,2015,488,14792
2020-04-19,80,---------------------------------,---------------------------------,2302,519,16116
2020-04-20,81,---------------------------------,---------------------------------,2842,559,17656
2020-04-21,82,---------------------------------,---------------------------------,3260,603,18985
2020-04-22,83,--------------------------------,--------------------------------,3960,652,20471
2020-04-23,84,--------------------------------,--------------------------------,4325,686,21700
2020-04-24,85,--------------------------------,--------------------------------,4814,723,23452
2020-04-25,86,--------------------------------,--------------------------------,5210,779,24893
2020-04-26,87,--------------------------------,--------------------------------,5914,826,26605
2020-04-27,88,--------------------------------,--------------------------------,6362,886,28160
2020-04-28,89,--------------------------------,--------------------------------,7027,937,29834
2020-04-29,90,--------------------------------,--------------------------------,7797,1008,31709
2020-04-30,91,--------------------------------,--------------------------------,8373,1075,33330
2020-05-01,92,--------------------------------,--------------------------------,9065,1152,34972
2020-05-02,93,--------------------------------,--------------------------------,9951,1218,37157
2020-05-03,94,--------------------------------,--------------------------------,10887,1306,40124
2020-05-04,95,--------------------------------,--------------------------------,11762,1389,42836
2020-05-05,96,--------------------------------,--------------------------------,13161,1583,46711
2020-05-06,97,---------------------------------,---------------------------------,14183,1694,49391
2020-05-07,98,---------------------------------,---------------------------------,15267,1783,52952
2020-05-08,99,---------------------------------,---------------------------------,16540,1886,56342
2020-05-09,100,---------------------------------,---------------------------------,17847,1981,59662
2020-05-10,101,---------------------------------,---------------------------------,19358,2109,62939
2020-05-11,102,---------------------------------,---------------------------------,20917,2206,67152
2020-05-12,103,---------------------------------,---------------------------------,22455,2293,70756
2020-05-13,104,---------------------------------,---------------------------------,24386,2415,74281
2020-05-14,105,---------------------------------,---------------------------------,26235,2549,78003
2020-05-15,106,---------------------------------,---------------------------------,27920,2649,81970
2020-05-16,107,---------------------------------,---------------------------------,30153,2752,85710
2020-05-17,108,---------------------------------,---------------------------------,34109,2872,90637
2020-05-18,109,---------------------------------,---------------------------------,36824,3029,95759
2020-05-19,110,---------------------------------,---------------------------------,39174,3163,100325
2020-05-20,111,----------------------------------,----------------------------------,42298,3303,106750
2020-05-21,112,----------------------------------,----------------------------------,45300,3435,112359
2020-05-22,113,----------------------------------,----------------------------------,48534,3583,118447
2020-05-23,114,----------------------------------,----------------------------------,51784,3720,125101
2020-05-24,115,-----------------------------------,-----------------------------------,54441,3867,131868
2020-05-25,116,-----------------------------------,-----------------------------------,57721,4021,138845
2020-05-26,117,------------------------------------,------------------------------------,60491,4167,145380
2020-05-27,118,------------------------------------,------------------------------------,64426,4337,151767
2020-05-28,119,------------------------------------,------------------------------------,67692,4531,158333
2020-05-29,120,------------------------------------,------------------------------------,71106,4706,165799
2020-05-30,121,------------------------------------,------------------------------------,82370,4971,173763
2020-05-31,122,------------------------------------,------------------------------------,86984,5164,182143
2020-06-01,123,------------------------------------,------------------------------------,91819,5394,190535
2020-06-02,124,------------------------------------,------------------------------------,95527,5598,198706
2020-06-03,125,------------------------------------,------------------------------------,100303,5815,207615
2020-06-04,126,------------------------------------,------------------------------------,104107,6075,216919
2020-06-05,127,------------------------------------,------------------------------------,109462,6348,226770
2020-06-06,128,------------------------------------,------------------------------------,114073,6642,236657
2020-06-07,129,------------------------------------,------------------------------------,119293,6929,246628
2020-06-08,130,------------------------------------,------------------------------------,124095,7135,256611
2020-06-09,131,------------------------------------,------------------------------------,129215,7466,266598
2020-06-10,132,------------------------------------,------------------------------------,135206,7745,276583
2020-06-11,133,-------------------------------------,-------------------------------------,141029,8102,286579
2020-06-12,134,------------------------------------,------------------------------------,147195,8498,297535
2020-06-13,135,------------------------------------,------------------------------------,154330,8884,308993
2020-06-14,136,------------------------------------,------------------------------------,162379,9195,320922
2020-06-15,137,------------------------------------,------------------------------------,169798,9520,332424
2020-06-16,138,------------------------------------,------------------------------------,180013,9900,343091
2020-06-17,139,------------------------------------,------------------------------------,186935,11903,354065
2020-06-18,140,------------------------------------,------------------------------------,194325,12237,366946
2020-06-19,141,------------------------------------,------------------------------------,204711,12573,380532
2020-06-20,142,------------------------------------,------------------------------------,213831,12948,395048
2020-06-21,143,------------------------------------,------------------------------------,227756,13254,410461
2020-06-22,144,------------------------------------,------------------------------------,237196,13699,425282
2020-06-23,145,------------------------------------,------------------------------------,248190,14011,440215
2020-06-24,146,------------------------------------,------------------------------------,258685,14476,456183
2020-06-25,147,------------------------------------,------------------------------------,271697,14894,473105
2020-06-26,148,------------------------------------,------------------------------------,285637,15301,490401
2020-06-27,149,------------------------------------,------------------------------------,295881,15685,508953
2020-06-28,150,------------------------------------,------------------------------------,309713,16095,528859
2020-06-29,151,------------------------------------,------------------------------------,321723,16475,548318
2020-06-30,152,------------------------------------,------------------------------------,334822,16893,566840
2020-07-01,153,------------------------------------,------------------------------------,347979,17400,585493
2020-07-02,154,------------------------------------,------------------------------------,359860,17834,604641
2020-07-03,155,------------------------------------,------------------------------------,379892,18213,625544
2020-07-04,156,------------------------------------,------------------------------------,394227,18655,648315
2020-07-05,157,------------------------------------,------------------------------------,409083,19268,673165
2020-07-06,158,------------------------------------,------------------------------------,424433,19693,697413
2020-07-07,159,------------------------------------,------------------------------------,439948,20160,719665
2020-07-08,160,------------------------------------,------------------------------------,456831,20642,742417
2020-07-09,161,------------------------------------,------------------------------------,476378,21129,767296
2020-07-10,162,------------------------------------,------------------------------------,495516,21604,793802
2020-07-11,163,------------------------------------,------------------------------------,515386,22123,820916
2020-07-12,164,------------------------------------,------------------------------------,534621,22674,849553
2020-07-13,165,------------------------------------,------------------------------------,553471,23174,878254
2020-07-14,166,------------------------------------,------------------------------------,571460,23727,906752
2020-07-15,167,------------------------------------,------------------------------------,592032,24309,936181
2020-07-16,168,------------------------------------,------------------------------------,612815,24915,968876
2020-07-17,169,------------------------------------,------------------------------------,635757,25602,1003832
2020-07-18,170,------------------------------------,------------------------------------,653751,26273,1038716
2020-07-19,171,-----------------------------------,-----------------------------------,677423,26816,1077618
2020-07-20,172,-----------------------------------,-----------------------------------,700087,27497,1118043
2020-07-21,173,-----------------------------------,-----------------------------------,724578,28084,1155191
2020-07-22,174,-----------------------------------,-----------------------------------,753050,28732,1192915
2020-07-23,175,-----------------------------------,-----------------------------------,782607,29861,1238635
2020-07-24,176,-----------------------------------,-----------------------------------,817209,30601,1287945
2020-07-25,177,-----------------------------------,-----------------------------------,849432,31358,1336861
2020-07-26,178,-----------------------------------,-----------------------------------,885577,32063,1385522
2020-07-27,179,-----------------------------------,-----------------------------------,917568,32771,1435453
2020-07-28,180,-----------------------------------,-----------------------------------,952743,33425,1483156
2020-07-29,181,-----------------------------------,-----------------------------------,988029,34193,1531669
2020-07-30,182,-----------------------------------,-----------------------------------,1020582,34968,1583792
2020-07-31,183,-----------------------------------,-----------------------------------,1057805,35747,1638870
2020-08-01,184,-----------------------------------,-----------------------------------,1094374,36511,1695988
2020-08-02,185,-----------------------------------,-----------------------------------,1145629,37364,1750723
2020-08-03,186,-----------------------------------,-----------------------------------,1186203,38135,1803695
2020-08-04,187,-----------------------------------,-----------------------------------,1230509,38938,1855745
2020-08-05,188,-----------------------------------,-----------------------------------,1282215,39795,1908254
2020-08-06,189,-----------------------------------,-----------------------------------,1328336,40699,1964536
2020-08-07,190,-----------------------------------,-----------------------------------,1378105,41585,2027074
2020-08-08,191,-----------------------------------,-----------------------------------,1427005,42518,2088611
2020-08-09,192,-----------------------------------,-----------------------------------,1480884,43379,2153010
2020-08-10,193,-----------------------------------,-----------------------------------,1535743,44386,2215074
2020-08-11,194,-----------------------------------,-----------------------------------,1583489,45257,2268675
2020-08-12,195,-----------------------------------,-----------------------------------,1639599,46091,2329638
2020-08-13,196,-----------------------------------,-----------------------------------,1695982,47033,2396637
2020-08-14,197,-----------------------------------,-----------------------------------,1751555,48040,2461190
2020-08-15,198,-----------------------------------,-----------------------------------,1808936,49036,2526192
