Date,Day,Cured,Deaths,Confirmed,New_Cured,New_Deaths,New_Confirmed
2020-01-30,0,0,0,1,0.0,0.0,0.0
2020-01-31,1,0,0,1,0.0,0.0,0.0
2020-02-01,2,0,0,2,0.0,0.0,1.0
2020-02-02,3,0,0,3,0.0,0.0,1.0
2020-02-03,4,0,0,3,0.0,0.0,0.0
2020-02-04,5,0,0,3,0.0,0.0,0.0
2020-02-05,6,0,0,3,0.0,0.0,0.0
2020-02-06,7,0,0,3,0.0,0.0,0.0
2020-02-07,8,0,0,3,0.0,0.0,0.0
2020-02-08,9,0,0,3,0.0,0.0,0.0
2020-02-09,10,0,0,3,0.0,0.0,0.0
2020-02-10,11,0,0,3,0.0,0.0,0.0
2020-02-11,12,0,0,3,0.0,0.0,0.0
2020-02-12,13,0,0,3,0.0,0.0,0.0
2020-02-13,14,0,0,3,0.0,0.0,0.0
2020-02-14,15,0,0,3,0.0,0.0,0.0
2020-02-15,16,0,0,3,0.0,0.0,0.0
2020-02-16,17,0,0,3,0.0,0.0,0.0
2020-02-17,18,0,0,3,0.0,0.0,0.0
2020-02-18,19,0,0,3,0.0,0.0,0.0
2020-02-19,20,0,0,3,0.0,0.0,0.0
2020-02-20,21,0,0,3,0.0,0.0,0.0
2020-02-21,22,0,0,3,0.0,0.0,0.0
2020-02-22,23,0,0,3,0.0,0.0,0.0
2020-02-23,24,0,0,3,0.0,0.0,0.0
2020-02-24,25,0,0,3,0.0,0.0,0.0
2020-02-25,26,0,0,3,0.0,0.0,0.0
2020-02-26,27,0,0,3,0.0,0.0,0.0
2020-02-27,28,0,0,3,0.0,0.0,0.0
2020-02-28,29,0,0,3,0.0,0.0,0.0
2020-02-29,30,0,0,3,0.0,0.0,0.0
2020-03-01,31,0,0,3,0.0,0.0,0.0
2020-03-02,32,0,0,5,0.0,0.0,2.0
2020-03-03,33,3,0,6,3.0,0.0,1.0
2020-03-04,34,3,0,28,0.0,0.0,22.0
2020-03-05,35,3,0,30,0.0,0.0,2.0
2020-03-06,36,3,0,31,0.0,0.0,1.0
