Date,Confirmed,Cured,Deaths,Total Individuals Vaccinated,TotalSamples,Day
2020-01-30,1,0,0,0.0,0.0,0
2020-01-31,1,0,0,0.0,0.0,1
2020-02-01,2,0,0,0.0,0.0,2
2020-02-02,3,0,0,0.0,0.0,3
2020-02-03,3,0,0,0.0,0.0,4
2020-02-04,3,0,0,0.0,0.0,5
2020-02-05,3,0,0,0.0,0.0,6
2020-02-06,3,0,0,0.0,0.0,7
2020-02-07,3,0,0,0.0,0.0,8
2020-02-08,3,0,0,0.0,0.0,9
2020-02-09,3,0,0,0.0,0.0,10
2020-02-10,3,0,0,0.0,0.0,11
2020-02-11,3,0,0,0.0,0.0,12
2020-02-12,3,0,0,0.0,0.0,13
2020-02-13,3,0,0,0.0,0.0,14
2020-02-14,3,0,0,0.0,0.0,15
2020-02-15,3,0,0,0.0,0.0,16
2020-02-16,3,0,0,0.0,0.0,17
2020-02-17,3,0,0,0.0,0.0,18
2020-02-18,3,0,0,0.0,0.0,19
2020-02-19,3,0,0,0.0,0.0,20
2020-02-20,3,0,0,0.0,0.0,21
2020-02-21,3,0,0,0.0,0.0,22
2020-02-22,3,0,0,0.0,0.0,23
2020-02-23,3,0,0,0.0,0.0,24
2020-02-24,3,0,0,0.0,0.0,25
2020-02-25,3,0,0,0.0,0.0,26
2020-02-26,3,0,0,0.0,0.0,27
2020-02-27,3,0,0,0.0,0.0,28
2020-02-28,3,0,0,0.0,0.0,29
2020-02-29,3,0,0,0.0,0.0,30
2020-03-01,3,0,0,0.0,0.0,31
2020-03-02,5,0,0,0.0,0.0,32
2020-03-03,6,3,0,0.0,0.0,33
2020-03-04,28,3,0,0.0,0.0,34
2020-03-05,30,3,0,0.0,0.0,35
2020-03-06,31,3,0,0.0,0.0,36
2020-03-07,34,3,0,0.0,0.0,37
2020-03-08,39,3,0,0.0,0.0,38
2020-03-09,46,3,0,0.0,0.0,39
2020-03-10,58,3,0,0.0,0.0,40
2020-03-11,60,3,0,0.0,0.0,41
2020-03-12,74,3,0,0.0,0.0,42
2020-03-13,81,3,1,0.0,0.0,43
2020-03-14,84,10,2,0.0,0.0,44
2020-03-15,110,13,2,0.0,0.0,45
2020-03-16,114,13,2,0.0,0.0,46
2020-03-17,137,14,3,0.0,0.0,47
2020-03-18,151,14,3,0.0,0.0,48
2020-03-19,173,20,4,0.0,0.0,49
2020-03-20,223,23,4,0.0,0.0,50
2020-03-21,283,23,4,0.0,0.0,51
2020-03-22,360,24,7,0.0,0.0,52
2020-03-23,433,24,7,0.0,0.0,53
2020-03-24,519,40,9,0.0,0.0,54
2020-03-25,606,43,10,0.0,0.0,55
2020-03-26,694,45,15,0.0,0.0,56
2020-03-27,724,67,17,0.0,0.0,57
2020-03-28,909,80,19,0.0,0.0,58
2020-03-29,1024,96,27,0.0,0.0,59
2020-03-30,1251,102,31,0.0,0.0,60
2020-03-31,1397,124,35,0.0,0.0,61
2020-04-01,1834,144,41,0.0,11245.0,62
2020-04-02,2069,156,53,0.0,14906.0,63
2020-04-03,2547,163,62,0.0,20130.0,64
2020-04-04,3072,213,75,0.0,10786.0,65
2020-04-05,3577,275,83,0.0,44139.0,66
2020-04-06,4281,319,111,0.0,29698.0,67
2020-04-07,4789,353,124,0.0,76933.0,68
2020-04-08,5274,411,149,0.0,63058.0,69
2020-04-09,5865,478,169,0.0,109609.0,70
2020-04-10,6761,516,206,0.0,155696.0,71
2020-04-11,7529,653,242,0.0,171571.0,72
2020-04-12,8447,765,273,0.0,191530.0,73
2020-04-13,9352,980,324,0.0,210051.0,74
2020-04-14,10815,1190,353,0.0,235088.0,75
2020-04-15,11933,1344,392,0.0,261132.0,76
2020-04-16,12759,1515,420,0.0,299725.0,77
2020-04-17,13835,1767,452,0.0,333455.0,78
2020-04-18,14792,2015,488,0.0,363532.0,79
2020-04-19,16116,2302,519,0.0,423547.0,80
2020-04-20,17656,2842,559,0.0,446947.0,81
2020-04-21,18985,3260,603,0.0,486257.0,82
2020-04-22,20471,3960,652,0.0,530890.0,83
2020-04-23,21700,4325,686,0.0,574814.0,84
2020-04-24,23452,4814,723,0.0,638084.0,85
2020-04-25,24893,5210,779,0.0,686738.0,86
2020-04-26,26605,5914,826,0.0,734260.0,87
2020-04-27,28160,6362,886,0.0,793217.0,88
2020-04-28,29834,7027,937,0.0,852688.0,89
2020-04-29,31709,7797,1008,0.0,928504.0,90
2020-04-30,33330,8373,1075,0.0,921166.0,91
2020-05-01,34972,9065,1152,0.0,992162.0,92
2020-05-02,37157,9951,1218,0.0,1098784.0,93
2020-05-03,40124,10887,1306,0.0,1184796.0,94
2020-05-04,42836,11762,1389,0.0,1255685.0,95
2020-05-05,46711,13161,1583,0.0,1348368.0,96
2020-05-06,49391,14183,1694,0.0,1402462.0,97
2020-05-07,52952,15267,1783,0.0,1460624.0,98
2020-05-08,56342,16540,1886,0.0,1568354.0,99
2020-05-09,59662,17847,1981,0.0,1666311.0,100
2020-05-10,62939,19358,2109,0.0,1764615.0,101
2020-05-11,67152,20917,2206,0.0,1805955.0,102
2020-05-12,70756,22455,2293,0.0,1907304.0,103
2020-05-13,74281,24386,2415,0.0,1989665.0,104
2020-05-14,78003,26235,2549,0.0,2114238.0,105
2020-05-15,81970,27920,2649,0.0,2218603.0,106
2020-05-16,85710,30153,2752,0.0,2121788.0,107
2020-05-17,90637,34109,2872,0.0,2398207.0,108
2020-05-18,95759,36824,3029,0.0,2547885.0,109
2020-05-19,100325,39174,3163,0.0,2668559.0,110
2020-05-20,106750,42298,3303,0.0,2742625.0,111
2020-05-21,112359,45300,3435,0.0,2904226.0,112
2020-05-22,118447,48534,3583,0.0,3037280.0,113
2020-05-23,125101,51784,3720,0.0,3161162.0,114
2020-05-24,131868,54441,3867,0.0,3237938.0,115
2020-05-25,138845,57721,4021,0.0,3347048.0,116
2020-05-26,145380,60491,4167,0.0,3451377.0,117
2020-05-27,151767,64426,4337,0.0,3559108.0,118
2020-05-28,158333,67692,4531,0.0,3688518.0,119
2020-05-29,165799,71106,4706,0.0,3922344.0,120
2020-05-30,173763,82370,4971,0.0,4056513.0,121
2020-05-31,182143,86984,5164,0.0,4207964.0,122
2020-06-01,190535,91819,5394,0.0,4225883.0,123
2020-06-02,198706,95527,5598,0.0,4483095.0,124
2020-06-03,207615,100303,5815,0.0,4653729.0,125
2020-06-04,216919,104107,6075,0.0,4791662.0,126
2020-06-05,226770,109462,6348,0.0,4831830.0,127
2020-06-06,236657,114073,6642,0.0,5111270.0,128
2020-06-07,246628,119293,6929,0.0,5271947.0,129
2020-06-08,256611,124095,7135,0.0,5259029.0,130
2020-06-09,266598,129215,7466,0.0,5578130.0,131
