Date,Day,Confirmed,New_Cases
2020-01-23,0,0.0,0.0
2020-01-24,1,0.0,0.0
2020-01-25,2,0.0,0.0
2020-01-26,3,0.0,0.0
2020-01-27,4,0.0,0.0
2020-01-28,5,0.0,0.0
2020-01-29,6,0.0,0.0
2020-01-30,7,1.0,1.0
2020-01-31,8,1.0,0.0
2020-02-01,9,1.0,0.0
2020-02-02,10,2.0,1.0
2020-02-03,11,3.0,1.0
2020-02-04,12,3.0,0.0
2020-02-05,13,3.0,0.0
2020-02-06,14,3.0,0.0
2020-02-07,15,3.0,0.0
2020-02-08,16,3.0,0.0
2020-02-09,17,3.0,0.0
2020-02-10,18,3.0,0.0
2020-02-11,19,3.0,0.0
2020-02-12,20,3.0,0.0
2020-02-13,21,3.0,0.0
2020-02-14,22,3.0,0.0
2020-02-15,23,3.0,0.0
2020-02-16,24,3.0,0.0
2020-02-17,25,3.0,0.0
2020-02-18,26,3.0,0.0
2020-02-19,27,3.0,0.0
2020-02-20,28,3.0,0.0
2020-02-21,29,3.0,0.0
2020-02-22,30,3.0,0.0
2020-02-23,31,3.0,0.0
2020-02-24,32,3.0,0.0
2020-02-25,33,3.0,0.0
2020-02-26,34,3.0,0.0
2020-02-27,35,3.0,0.0
2020-02-28,36,3.0,0.0
2020-02-29,37,3.0,0.0
2020-03-01,38,3.0,0.0
2020-03-02,39,5.0,2.0
2020-03-03,40,5.0,0.0
2020-03-04,41,28.0,23.0
2020-03-05,42,30.0,2.0
2020-03-06,43,31.0,1.0
2020-03-07,44,34.0,3.0
2020-03-08,45,39.0,5.0
2020-03-09,46,43.0,4.0
2020-03-10,47,56.0,13.0
2020-03-11,48,62.0,6.0
2020-03-12,49,73.0,11.0
2020-03-13,50,82.0,9.0
2020-03-14,51,102.0,20.0
2020-03-15,52,113.0,11.0
2020-03-16,53,119.0,6.0
2020-03-17,54,142.0,23.0
2020-03-18,55,156.0,14.0
2020-03-19,56,194.0,38.0
2020-03-20,57,244.0,50.0
2020-03-21,58,330.0,86.0
2020-03-22,59,396.0,66.0
2020-03-23,60,499.0,103.0
2020-03-24,61,536.0,37.0
2020-03-25,62,657.0,121.0
2020-03-26,63,727.0,70.0
2020-03-27,64,887.0,160.0
